#mono_mass_delta,residue,unimod_id,unimod_name
+15.994915,DKNPFYRMCWHGUEILQSTV,UNIMOD:35,Oxidation
+79.966331,TSYDHCRK,UNIMOD:21,Phospho
+42.010565,nKCSTYHR,UNIMOD:1,Acetyl
+226.077598,nK,UNIMOD:3,Biotin
+57.021464,nCKHDESTYHM,UNIMOD:4,Carbamidomethyl
+43.005814,nKRCMSTY,UNIMOD:5,Carbamyl
+58.005479,nCKWU,UNIMOD:6,Carboxymethyl
+0.984016,QNRF,UNIMOD:7,Deamidated
-18.010565,E,UNIMOD:27,Glu->pyro-Glu
-18.010565,NQSTYDC,UNIMOD:23,Dehydrated
-17.026549,Q,UNIMOD:28,Gln->pyro-Glu
-17.026549,TSCN,UNIMOD:385,Ammonia-loss
+14.01565,ncCHKNQRILEDST,UNIMOD:34,Methyl
+114.042927,nKSTC,UNIMOD:121,GG
+27.994915,nKST,UNIMOD:122,Formyl
+28.990164,C,UNIMOD:275,Nitrosyl
+229.162932,nKHST,UNIMOD:737,TMT6plex
+225.155833,nKHST,UNIMOD:738,TMT2plex
+224.152478,nKHST,UNIMOD:739,TMT
+304.207146,nKHST,UNIMOD:2016,TMTpro 16plex
+229.162932,nKHST,UNIMOD:737,TMT10plex
+304.207146,nKHST,UNIMOD:2016,TMTpro 18plex
+295.189592,nKHSTY,UNIMOD:2017,TMTpro_zero
+235.176741,nK,UNIMOD:2015,shTMT
+313.231019,nK,UNIMOD:2050,shTMTpro
+237.177131,K,UNIMOD:2122,Label:13C(6)15N(2)+TMT6plex
+312.221344,K,UNIMOD:2123,Label:13C(6)15N(2)+TMTpro
+299.166748,C,UNIMOD:984,cysTMT
+304.177202,C,UNIMOD:985,cysTMT6plex
+324.216141,CDEHK,UNIMOD:1341,iodoTMT
+329.226595,CDEHK,UNIMOD:1342,iodoTMT6plex
-131.040485,nM,UNIMOD:765,Met-loss
-89.02992,nM,UNIMOD:766,Met-loss+Acetyl
+28.0313,nKR,UNIMOD:36,Dimethyl
+42.04695,nKR,UNIMOD:37,Trimethyl
+31.989829,MCWY,UNIMOD:425,Dioxidation
+47.984744,CWFY,UNIMOD:345,Trioxidation
+71.037114,nCK,UNIMOD:24,Propionamide
+79.956815,STY,UNIMOD:40,Sulfo
+162.052824,NST,UNIMOD:41,Hex
+203.079373,NST,UNIMOD:43,HexNAc
+144.102063,nK,UNIMOD:214,iTRAQ4plex
+304.20536,nK,UNIMOD:730,iTRAQ8plex
+304.19904,nK,UNIMOD:731,iTRAQ8plex:13C(6)15N(2)
+86.000394,CSK,UNIMOD:747,Malonyl
+100.016044,nK,UNIMOD:64,Succinyl
+70.041865,K,UNIMOD:1289,Butyryl
+68.026215,K,UNIMOD:1363,Crotonyl
+72.021129,K,UNIMOD:2114,Lactylation
+238.229666,nCKST,UNIMOD:47,Palmitoyl
+210.198366,nGKC,UNIMOD:45,Myristoyl
+44.985078,WYF,UNIMOD:354,Nitro
+31.972071,CDW,UNIMOD:421,Sulfide
+125.047679,C,UNIMOD:108,Nethylmaleimide
+8.014199,K,UNIMOD:259,Label:13C(6)15N(2)
+10.008269,R,UNIMOD:267,Label:13C(6)15N(4)
+4.008491,c,UNIMOD:193,Label:18O(2)
